iter	Passed	Remaining
370	1280	2170
371	1283	2167
372	1286	2163
373	1290	2159
374	1293	2156
375	1296	2152
376	1300	2148
377	1303	2144
378	1306	2141
379	1310	2137
380	1313	2133
381	1316	2129
382	1320	2126
383	1323	2123
384	1326	2119
385	1330	2115
386	1333	2112
387	1336	2108
388	1339	2104
389	1343	2100
390	1346	2096
391	1349	2093
392	1353	2090
393	1356	2086
394	1359	2082
395	1363	2079
396	1366	2075
397	1370	2072
398	1373	2068
399	1376	2064
400	1381	2064
401	1385	2060
402	1388	2056
403	1391	2053
404	1395	2050
405	1399	2047
406	1402	2043
407	1405	2039
408	1409	2036
409	1412	2032
410	1415	2029
411	1419	2025
412	1422	2022
413	1426	2018
414	1429	2014
415	1432	2011
416	1435	2007
417	1439	2004
418	1442	2000
419	1446	1997
420	1449	1993
421	1452	1989
422	1456	1986
423	1459	1982
424	1462	1978
425	1465	1975
426	1469	1971
427	1472	1968
428	1476	1964
429	1479	1961
430	1482	1957
431	1486	1953
432	1489	1950
433	1492	1946
434	1495	1942
435	1499	1939
436	1502	1935
437	1505	1932
438	1509	1928
439	1512	1925
440	1516	1921
441	1519	1918
442	1522	1914
443	1526	1911
444	1529	1907
445	1532	1904
446	1536	1900
447	1539	1896
448	1542	1893
449	1546	1889
450	1549	1886
451	1552	1882
452	1556	1879
453	1559	1875
454	1563	1872
455	1566	1868
456	1569	1865
457	1573	1861
458	1576	1858
459	1579	1854
460	1583	1851
461	1586	1847
462	1590	1844
463	1593	1840
464	1597	1837
465	1600	1834
466	1604	1830
467	1608	1828
468	1612	1825
469	1616	1823
470	1620	1819
471	1623	1816
472	1627	1812
473	1630	1809
474	1633	1805
475	1637	1802
476	1640	1799
477	1644	1795
478	1647	1791
479	1650	1788
480	1654	1784
481	1657	1781
482	1660	1777
483	1664	1774
484	1667	1770
485	1670	1766
486	1673	1763
487	1677	1759
488	1680	1756
489	1683	1752
490	1687	1748
491	1690	1745
492	1693	1741
493	1696	1738
494	1700	1734
495	1703	1731
496	1706	1727
497	1710	1723
498	1713	1720
499	1717	1717
500	1720	1714
501	1724	1710
502	1727	1707
503	1730	1703
504	1734	1699
505	1738	1697
506	1741	1693
507	1745	1690
508	1748	1686
509	1751	1683
510	1755	1679
511	1759	1676
512	1762	1673
513	1765	1669
514	1768	1665
515	1774	1664
516	1778	1661
517	1781	1657
518	1784	1654
519	1790	1652
520	1793	1648
521	1796	1645
522	1800	1641
523	1803	1638
524	1807	1635
525	1810	1631
526	1813	1628
527	1817	1624
528	1820	1621
529	1824	1617
530	1827	1614
531	1830	1610
532	1834	1607
533	1837	1603
534	1840	1599
535	1844	1596
536	1847	1593
537	1850	1589
538	1854	1585
539	1857	1582
540	1860	1578
541	1864	1575
542	1867	1571
543	1870	1567
544	1873	1564
545	1877	1560
546	1880	1557
547	1883	1553
548	1887	1550
549	1890	1546
550	1894	1543
551	1897	1540
552	1901	1536
553	1904	1533
554	1907	1529
555	1910	1525
556	1914	1522
557	1917	1518
558	1920	1515
559	1924	1511
560	1927	1508
561	1930	1504
562	1933	1500
563	1936	1497
564	1940	1493
565	1943	1490
566	1946	1486
567	1950	1483
568	1953	1479
569	1957	1476
570	1960	1473
571	1963	1469
572	1967	1465
573	1970	1462
574	1973	1458
575	1976	1455
576	1980	1451
577	1983	1448
578	1986	1444
579	1989	1440
580	1993	1437
581	1996	1433
582	2000	1430
583	2003	1427
584	2007	1423
585	2010	1420
586	2013	1416
587	2017	1413
588	2020	1409
589	2024	1406
590	2027	1403
591	2031	1399
592	2034	1396
593	2037	1392
594	2041	1389
595	2047	1387
596	2051	1384
597	2054	1381
598	2058	1378
599	2062	1374
600	2065	1371
601	2068	1367
602	2071	1364
603	2075	1360
604	2078	1357
605	2081	1353
606	2085	1350
607	2088	1346
608	2091	1343
609	2095	1339
610	2098	1336
611	2101	1332
612	2105	1329
613	2108	1325
614	2111	1322
615	2115	1318
616	2118	1315
617	2121	1311
618	2125	1307
619	2128	1304
620	2131	1300
621	2134	1297
622	2138	1293
623	2141	1290
624	2144	1286
625	2148	1283
626	2151	1280
627	2154	1276
628	2158	1273
629	2161	1269
630	2165	1266
631	2168	1262
632	2172	1259
633	2175	1255
634	2178	1252
635	2182	1248
636	2185	1245
637	2188	1241
638	2191	1238
639	2195	1234
640	2198	1231
641	2202	1227
642	2205	1224
643	2208	1221
644	2212	1217
645	2215	1214
646	2218	1210
647	2222	1207
648	2225	1203
649	2228	1200
650	2232	1196
651	2235	1193
652	2238	1189
653	2242	1186
654	2245	1182
655	2248	1179
656	2251	1175
657	2255	1172
658	2258	1168
659	2262	1165
660	2265	1161
661	2269	1158
662	2273	1155
663	2276	1151
664	2279	1148
665	2283	1144
666	2286	1141
667	2290	1138
668	2293	1134
669	2296	1131
670	2300	1127
671	2303	1124
672	2307	1121
673	2310	1117
674	2314	1114
675	2317	1110
676	2320	1107
677	2324	1103
678	2327	1100
679	2330	1096
680	2334	1093
681	2337	1089
682	2340	1086
683	2344	1083
684	2347	1079
685	2351	1076
686	2354	1072
687	2357	1069
688	2361	1065
689	2364	1062
690	2367	1058
691	2371	1055
692	2374	1051
693	2378	1048
694	2381	1045
695	2384	1041
696	2388	1038
697	2391	1034
698	2394	1031
699	2398	1027
700	2401	1024
701	2405	1020
702	2408	1017
703	2411	1013
704	2414	1010
705	2418	1007
706	2421	1003
707	2425	1000
708	2428	996
709	2431	993
710	2435	989
711	2438	986
712	2442	983
713	2445	979
714	2448	976
715	2452	972
716	2455	969
717	2459	965
718	2462	962
719	2466	959
720	2469	955
721	2472	952
722	2475	948
723	2479	945
724	2483	941
725	2486	938
726	2489	934
727	2492	931
728	2496	928
729	2499	924
730	2503	921
731	2506	917
732	2510	914
733	2513	910
734	2516	907
735	2519	903
736	2523	900
737	2527	897
738	2530	893
739	2534	890
740	2537	886
741	2540	883
742	2543	879
743	2547	876
744	2550	872
745	2553	869
746	2557	866
747	2560	862
748	2563	859
749	2567	855
750	2571	852
751	2575	849
752	2579	846
753	2583	842
754	2586	839
755	2590	835
756	2594	832
757	2598	829
758	2601	826
759	2604	822
760	2608	819
761	2611	815
762	2615	812
763	2618	808
764	2621	805
765	2625	801
766	2628	798
767	2632	795
768	2635	791
769	2638	788
770	2642	784
771	2645	781
772	2648	777
773	2651	774
774	2655	770
775	2658	767
776	2661	763
777	2665	760
778	2668	756
779	2671	753
780	2675	750
781	2678	746
782	2682	743
783	2685	739
784	2689	736
785	2692	733
786	2695	729
787	2698	726
788	2702	722
789	2705	719
790	2708	715
791	2712	712
792	2715	708
793	2718	705
794	2721	701
795	2725	698
796	2728	694
797	2731	691
798	2735	688
799	2738	684
800	2741	681
801	2744	677
802	2748	674
803	2751	670
804	2755	667
805	2758	663
806	2761	660
807	2765	657
808	2768	653
809	2772	650
810	2775	646
811	2778	643
812	2782	639
813	2785	636
814	2788	633
815	2792	629
816	2795	626
817	2798	622
818	2802	619
819	2805	615
820	2809	612
821	2812	609
822	2815	605
823	2819	602
824	2822	598
825	2828	595
826	2831	592
827	2835	588
828	2838	585
829	2841	582
830	2845	578
831	2848	575
832	2851	571
833	2855	568
834	2858	564
835	2862	561
836	2865	558
837	2868	554
838	2872	551
839	2875	547
840	2878	544
841	2882	540
842	2885	537
843	2888	533
844	2892	530
845	2895	527
846	2898	523
847	2902	520
848	2905	516
849	2908	513
850	2912	509
851	2915	506
852	2919	503
853	2922	499
854	2926	496
855	2929	492
856	2932	489
857	2936	485
858	2939	482
859	2943	479
860	2946	475
861	2949	472
862	2953	468
863	2956	465
864	2960	461
865	2963	458
866	2966	455
867	2969	451
868	2973	448
869	2976	444
870	2979	441
871	2983	437
872	2986	434
873	2989	431
874	2992	427
875	2996	424
876	2999	420
877	3002	417
878	3006	413
879	3010	410
880	3013	407
881	3016	403
882	3020	400
883	3023	396
884	3026	393
885	3029	389
886	3033	386
887	3036	382
888	3039	379
889	3043	376
890	3046	372
891	3049	369
892	3052	365
893	3056	362
894	3059	358
895	3062	355
896	3066	352
897	3069	348
898	3072	345
899	3076	341
900	3079	338
901	3082	334
902	3085	331
903	3089	328
904	3092	324
905	3095	321
906	3098	317
907	3102	314
908	3105	310
909	3108	307
910	3112	304
911	3115	300
912	3118	297
913	3121	293
914	3125	290
915	3128	286
916	3131	283
917	3135	280
918	3138	276
919	3141	273
920	3145	269
921	3148	266
922	3151	262
923	3155	259
924	3158	256
925	3161	252
926	3164	249
927	3168	245
928	3171	242
929	3174	238
930	3178	235
931	3181	232
932	3184	228
933	3188	225
934	3191	221
935	3194	218
936	3198	215
937	3201	211
938	3205	208
939	3208	204
940	3211	201
941	3215	197
942	3218	194
943	3221	191
944	3225	187
945	3228	184
946	3231	180
947	3235	177
948	3238	174
949	3242	170
950	3245	167
951	3249	163
952	3252	160
953	3256	157
954	3260	153
955	3263	150
956	3267	146
957	3270	143
958	3273	139
959	3277	136
960	3280	133
961	3283	129
962	3287	126
963	3290	122
964	3293	119
965	3297	116
966	3300	112
967	3303	109
968	3307	105
969	3310	102
970	3314	98
971	3317	95
972	3321	92
973	3324	88
974	3328	85
975	3331	81
976	3335	78
977	3338	75
978	3342	71
979	3345	68
980	3348	64
981	3352	61
982	3355	58
983	3359	54
984	3362	51
985	3365	47
986	3368	44
987	3372	40
988	3375	37
989	3378	34
990	3382	30
991	3385	27
992	3388	23
993	3392	20
994	3395	17
995	3399	13
996	3402	10
997	3406	6
998	3409	3
999	3412	0
