iter	RMSE
471	92.64220582
472	92.64218417
473	92.64216052
474	92.64213048
475	92.64203708
476	92.64196215
477	92.64193921
478	92.64191601
479	92.64189355
480	92.64187864
481	92.64176482
482	92.64174022
483	92.64168873
484	92.64164346
485	92.64159645
486	92.6415725
487	92.64155151
488	92.64151057
489	92.64148942
490	92.64146762
491	92.64145498
492	92.64139333
493	92.64137235
494	92.64135117
495	92.64133532
496	92.64127263
497	92.64125907
498	92.6412278
499	92.6412106
500	92.64119146
501	92.64112778
502	92.64110745
503	92.64108821
504	92.64107
505	92.64105237
506	92.64099445
507	92.64094747
508	92.64091858
509	92.64090414
510	92.6408435
511	92.640826
512	92.64072947
513	92.64070422
514	92.6406632
515	92.64063351
516	92.64062359
517	92.64060023
518	92.64055178
519	92.64051573
520	92.64048039
521	92.6404706
522	92.64045428
523	92.64043171
524	92.64038681
525	92.640356
526	92.64034188
527	92.64028839
528	92.6402779
529	92.64025369
530	92.64024246
531	92.64021383
532	92.6401996
533	92.64016908
534	92.64011108
535	92.64008541
536	92.64001153
537	92.63997023
538	92.63995705
539	92.63993834
540	92.63991708
541	92.63989748
542	92.63988397
543	92.63985381
544	92.63980312
545	92.63979127
546	92.63978065
547	92.63975654
548	92.63974764
549	92.63969915
550	92.6396798
551	92.63966417
552	92.63963821
553	92.63962674
554	92.63960289
555	92.63958074
556	92.63954024
557	92.63953057
558	92.63947006
559	92.63945083
560	92.63943001
561	92.63938875
562	92.63934884
563	92.63931409
564	92.63930571
565	92.63929364
566	92.63924662
567	92.63922446
568	92.63920177
569	92.63917971
570	92.63916981
571	92.63916189
572	92.63912118
573	92.63911453
574	92.63910941
575	92.63909111
576	92.63907464
577	92.639068
578	92.63904937
579	92.63903273
580	92.639027
581	92.63899848
582	92.63898612
583	92.63896763
584	92.63894195
585	92.63892709
586	92.63891895
587	92.63889467
588	92.63887823
589	92.63886766
590	92.63881951
591	92.63881396
592	92.63880476
593	92.63880041
594	92.6387824
595	92.63873909
596	92.63871854
597	92.63870665
598	92.63868881
599	92.63867448
600	92.63864149
601	92.63863746
602	92.63863077
603	92.63861811
604	92.63860471
605	92.63858359
606	92.63857561
607	92.63856838
608	92.63856206
609	92.63854615
610	92.63851952
611	92.63850375
612	92.63849077
613	92.63847481
614	92.63846916
615	92.63844065
616	92.63843178
617	92.6384272
618	92.63842286
619	92.63840433
620	92.63839369
621	92.63837966
622	92.63835085
623	92.6383365
624	92.63832884
625	92.63831755
626	92.63830767
627	92.63830187
628	92.63829518
629	92.63826161
630	92.63825392
631	92.6382145
632	92.63818819
633	92.63817334
634	92.63816012
635	92.63813619
636	92.63809708
637	92.63807403
638	92.63806928
639	92.63804732
640	92.63803571
641	92.63803345
642	92.63801907
643	92.63800897
644	92.63799711
645	92.63799312
646	92.63798476
647	92.63798096
648	92.63794525
649	92.63793508
650	92.63792377
651	92.63791611
652	92.63791278
653	92.637885
654	92.63784798
655	92.63783814
656	92.63782943
657	92.6378143
658	92.63781093
659	92.63778324
660	92.63777683
661	92.63776852
662	92.63776165
663	92.63775458
664	92.63775187
665	92.63774438
666	92.63774147
667	92.63773481
668	92.63772157
669	92.63771084
670	92.63770309
671	92.63769144
672	92.6376853
673	92.63767891
674	92.63767531
675	92.63766583
676	92.63765908
677	92.63765201
678	92.63764794
679	92.63764026
680	92.63762005
681	92.6376113
682	92.63759189
683	92.63758501
684	92.63757411
685	92.63756508
686	92.63755796
687	92.63753001
688	92.63752611
689	92.63752008
690	92.63751255
691	92.63750331
692	92.63749915
693	92.63749447
694	92.63746636
695	92.63744749
696	92.63744497
697	92.63743594
698	92.63742961
699	92.63742725
700	92.63742374
701	92.63741952
702	92.6373977
703	92.6373925
704	92.63738325
705	92.63737815
706	92.63737473
707	92.63737299
708	92.63736987
709	92.6373634
710	92.63735161
711	92.63734341
712	92.63734076
713	92.6373378
714	92.63732464
715	92.63731235
716	92.63728801
717	92.63727344
718	92.6372698
719	92.63726799
720	92.63726235
721	92.63725949
722	92.63725572
723	92.63724862
724	92.63723813
725	92.63723589
726	92.63722279
727	92.63721758
728	92.63719339
729	92.63716912
730	92.6371634
731	92.63714175
732	92.63712755
733	92.63712342
734	92.63711163
735	92.63710716
736	92.63710432
737	92.63709049
738	92.63707009
739	92.63706381
740	92.63705864
741	92.63704851
742	92.63704711
743	92.63704308
744	92.63703425
745	92.63702966
746	92.63702673
747	92.63702174
748	92.6370104
749	92.63700313
750	92.6369855
751	92.6369846
752	92.63698228
753	92.63696376
754	92.63695684
755	92.63695057
756	92.63694287
757	92.63694105
758	92.63693759
759	92.63693662
760	92.63693239
761	92.63691643
762	92.63689956
763	92.63689434
764	92.63687756
765	92.63687256
766	92.63686644
767	92.63685132
768	92.63684476
769	92.63684077
770	92.63683824
771	92.63683543
772	92.63683324
773	92.6368295
774	92.63681518
775	92.6368144
776	92.63679942
777	92.63678692
778	92.63677365
779	92.63677018
780	92.63676048
781	92.63675795
782	92.63675446
783	92.63673551
784	92.63673202
785	92.63672938
786	92.63672789
787	92.63671962
788	92.63671655
789	92.63671549
790	92.63670346
791	92.63669444
792	92.6366891
793	92.63668474
794	92.6366726
795	92.63666993
796	92.6366606
797	92.63665839
798	92.63664875
799	92.63664688
800	92.63664292
801	92.63664054
802	92.63663595
803	92.63662846
804	92.63662188
805	92.63661727
806	92.63660221
807	92.63658818
808	92.63658182
809	92.63658078
810	92.63657375
811	92.63657018
812	92.63656658
813	92.63656482
814	92.63656304
815	92.63655751
816	92.63655549
817	92.63654305
818	92.63653158
819	92.63652939
820	92.6365221
821	92.63651902
822	92.63651514
823	92.63650754
824	92.63650707
825	92.63649891
826	92.63649358
827	92.63648352
828	92.63647466
829	92.63647376
830	92.63645676
831	92.63645471
832	92.63643907
833	92.63643644
834	92.63642842
835	92.63642139
836	92.63642101
837	92.63641726
838	92.63641491
839	92.63641452
840	92.63641281
841	92.6364065
842	92.63640508
843	92.63640397
844	92.63640248
845	92.63640042
846	92.63639454
847	92.63639331
848	92.63638718
849	92.63638478
850	92.6363793
851	92.63637747
852	92.63637511
853	92.63637423
854	92.63636892
855	92.63636734
856	92.6363538
857	92.63634229
858	92.6363404
859	92.63633917
860	92.63633808
861	92.63633706
862	92.63633492
863	92.63632851
864	92.63632744
865	92.63632449
866	92.63632368
867	92.63632292
868	92.63630431
869	92.63629515
870	92.63629071
871	92.63629014
872	92.63628457
873	92.63628127
874	92.63627803
875	92.63627208
876	92.63626769
877	92.63625691
878	92.63625621
879	92.63625256
880	92.63625121
881	92.63624731
882	92.63623936
883	92.63623589
884	92.63622741
885	92.63622654
886	92.63622605
887	92.63622105
888	92.63621698
889	92.63621109
890	92.63620956
891	92.63620304
892	92.63619525
893	92.6361923
894	92.63619162
895	92.63619088
896	92.63618837
897	92.63618706
898	92.63618507
899	92.63618243
900	92.63618184
901	92.63617663
902	92.63617098
903	92.63616972
904	92.63616804
905	92.63616547
906	92.63616319
907	92.63615972
908	92.63615192
909	92.63614628
910	92.63613781
911	92.63613366
912	92.63613315
913	92.63613174
914	92.63612903
915	92.63612718
916	92.63612646
917	92.63612273
918	92.63611601
919	92.63611545
920	92.63611444
921	92.63611297
922	92.63610545
923	92.63610201
924	92.63610005
925	92.63609841
926	92.6360973
927	92.63609675
928	92.63609561
929	92.63609054
930	92.63608887
931	92.63608723
932	92.63608679
933	92.63608143
934	92.63608007
935	92.63607848
936	92.63607465
937	92.63607005
938	92.63606902
939	92.63606773
940	92.6360661
941	92.6360618
942	92.63606049
943	92.63605651
944	92.63605214
945	92.63604579
946	92.63604425
947	92.63604062
948	92.63604032
949	92.63603915
950	92.6360389
951	92.63603187
952	92.63603111
953	92.63602614
954	92.63602521
955	92.636025
956	92.63602303
957	92.63601804
958	92.63601681
959	92.63601242
960	92.63601057
961	92.63600627
962	92.63600592
963	92.63600523
964	92.6360025
965	92.63600142
966	92.63599757
967	92.63599523
968	92.63599409
969	92.63599071
970	92.63599021
971	92.63598758
972	92.63598613
973	92.63598598
974	92.635985
975	92.6359827
976	92.63597966
977	92.63597769
978	92.63597684
979	92.63597416
980	92.63597191
981	92.63597166
982	92.63596859
983	92.63596664
984	92.6359641
985	92.63596366
986	92.63596317
987	92.63596223
988	92.63596197
989	92.63595898
990	92.63595514
991	92.63595026
992	92.63594957
993	92.63594928
994	92.63594628
995	92.63594586
996	92.63594359
997	92.63594097
998	92.63593921
999	92.6359378
